date,kospi_price,kospi_return,anomaly_flag,regime_hmm,regime_cusum,vix,usd_krw,us_10y,inflation_exp,bok_rate,anomaly_frequency_weekly
2020-08-03,2251.0400390625,0.0007423953320264687,0.0,1.0,1.0,24.28,1194.31,0.56,1.58,0.5,0.0
2020-08-04,2279.969970703125,0.012851806782021358,0.0,1.0,1.0,23.76,1194.53,0.52,1.57,0.5,0.0
2020-08-05,2311.860107421875,0.013987086289963369,1.0,1.0,1.0,22.99,1188.93,0.55,1.61,0.5,0.2
2020-08-06,2342.610107421875,0.013300977814912684,1.0,1.0,1.0,22.65,1185.29,0.55,1.63,0.5,0.4
2020-08-07,2351.669921875,0.003867401760293543,1.0,1.0,1.0,22.21,1189.25,0.57,1.61,0.5,0.6
2020-08-10,2386.3798828125,0.014759707820656054,1.0,1.0,1.0,22.13,1186.28,0.59,1.61,0.5,0.8
2020-08-11,2418.669921875,0.013530971868755515,1.0,1.0,1.0,24.03,1184.84,0.64,1.63,0.5,1.0
2020-08-12,2432.35009765625,0.00565607388487499,1.0,1.0,1.0,22.28,1184.09,0.69,1.67,0.5,1.0
2020-08-13,2437.530029296875,0.0021295995365206988,0.0,1.0,1.0,22.13,1183.25,0.71,1.67,0.5,0.8
2020-08-14,2407.489990234375,-0.012323966762028071,0.0,1.0,1.0,22.05,1186.53,0.71,1.65,0.5,0.6
2020-08-18,2348.239990234375,-0.024610694225246532,1.0,1.0,0.0,21.51,1184.74,0.67,1.68,0.5,0.6
2020-08-19,2360.5400390625,0.0052379862702607305,0.0,1.0,0.0,22.54,1181.06,0.68,1.67,0.5,0.4
2020-08-20,2274.219970703125,-0.036567932308260054,0.0,1.0,0.0,22.72,1187.66,0.65,1.62,0.5,0.2
2020-08-21,2304.590087890625,0.013354080774389931,0.0,1.0,0.0,22.54,1191.84,0.64,1.64,0.5,0.2
2020-08-24,2329.830078125,0.010952051892871406,0.0,1.0,1.0,22.37,1189.11,0.65,1.67,0.5,0.2
2020-08-25,2366.72998046875,0.015838022991550682,0.0,1.0,1.0,22.03,1188.18,0.69,1.7,0.5,0.0
2020-08-26,2369.320068359375,0.0010943740570321658,0.0,1.0,1.0,23.27,1185.6,0.69,1.72,0.5,0.0
2020-08-27,2344.449951171875,-0.010496731750016863,0.0,1.0,1.0,24.47,1185.22,0.74,1.73,0.5,0.0
2020-08-28,2353.800048828125,0.00398818394548206,0.0,1.0,1.0,22.96,1181.62,0.74,1.77,0.5,0.0
2020-08-31,2326.169921875,-0.011738519151990423,0.0,1.0,0.0,26.41,1187.48,0.72,1.8,0.5,0.0
2020-09-01,2349.550048828125,0.010050911041906918,0.0,1.0,0.0,26.12,1182.94,0.68,1.76,0.5,0.0
2020-09-02,2364.3701171875,0.006307619778845197,0.0,1.0,0.0,26.57,1189.98,0.66,1.73,0.5,0.0
2020-09-03,2395.89990234375,0.013335384729763033,0.0,1.0,1.0,33.6,1188.04,0.63,1.65,0.5,0.0
2020-09-04,2368.25,-0.011540508147565687,0.0,1.0,1.0,30.75,1190.6,0.72,1.7,0.5,0.0
2020-09-07,2384.219970703125,0.00674336353979732,0.0,1.0,1.0,30.75,1190.6,0.72,1.7,0.5,0.0
2020-09-08,2401.909912109375,0.007419592832717203,0.0,1.0,1.0,31.46,1188.69,0.69,1.68,0.5,0.0
2020-09-09,2375.81005859375,-0.010866291605709733,0.0,1.0,1.0,28.81,1185.12,0.71,1.71,0.5,0.0
2020-09-10,2396.47998046875,0.008700157573722223,0.0,1.0,1.0,29.71,1184.41,0.68,1.69,0.5,0.0
2020-09-11,2396.68994140625,8.761222259789925e-05,0.0,1.0,1.0,26.87,1186.55,0.67,1.65,0.5,0.0
2020-09-14,2427.909912109375,0.013026286864961323,0.0,1.0,1.0,25.85,1181.27,0.68,1.65,0.5,0.0
2020-09-15,2443.580078125,0.006454179348858391,0.0,1.0,1.0,25.59,1179.99,0.68,1.67,0.5,0.0
2020-09-16,2435.919921875,-0.0031348087662744772,0.0,1.0,1.0,26.04,1176.0,0.69,1.68,0.5,0.0
2020-09-17,2406.169921875,-0.012213045155072488,0.0,1.0,1.0,26.46,1174.25,0.69,1.66,0.5,0.0
2020-09-18,2412.39990234375,0.00258916895773309,0.0,1.0,1.0,25.83,1163.2,0.7,1.67,0.5,0.0
2020-09-21,2389.389892578125,-0.009538223635007559,0.0,1.0,0.0,27.78,1166.75,0.68,1.62,0.5,0.0
2020-09-22,2332.590087890625,-0.02377167697240634,0.0,1.0,0.0,26.86,1164.83,0.68,1.62,0.5,0.0
2020-09-23,2333.239990234375,0.000278618325235902,0.0,1.0,0.0,28.58,1164.56,0.68,1.6,0.5,0.0
2020-09-24,2272.699951171875,-0.025946769006140125,1.0,1.0,0.0,28.51,1170.49,0.67,1.58,0.5,0.2
2020-09-25,2278.7900390625,0.002679670885496588,0.0,1.0,0.0,26.38,1172.71,0.66,1.58,0.5,0.2
2020-09-28,2308.080078125,0.012853329425009274,0.0,1.0,0.0,26.19,1168.08,0.67,1.61,0.5,0.2
2020-09-29,2327.889892578125,0.008582810726921464,0.0,1.0,1.0,26.27,1169.67,0.66,1.64,0.5,0.2
2020-10-05,2358.0,0.012934506704064264,0.0,1.0,1.0,27.96,1157.77,0.78,1.68,0.5,0.2
2020-10-06,2365.89990234375,0.0033502554468829437,0.0,1.0,1.0,29.48,1162.0,0.76,1.66,0.5,0.0
2020-10-07,2386.93994140625,0.008893038560784827,0.0,1.0,1.0,28.06,1158.41,0.81,1.71,0.5,0.0
2020-10-08,2391.9599609375,0.0021031193303893136,0.0,1.0,1.0,26.36,1152.44,0.78,1.72,0.5,0.0
2020-10-12,2403.72998046875,0.00492065909273709,0.0,1.0,1.0,25.07,1143.46,0.79,1.73,0.5,0.0
2020-10-13,2403.14990234375,-0.00024132416274424973,0.0,1.0,1.0,26.07,1147.4,0.74,1.7,0.5,0.0
2020-10-14,2380.47998046875,-0.009433419801607279,0.0,1.0,1.0,26.4,1146.58,0.73,1.69,0.5,0.0
2020-10-15,2361.2099609375,-0.00809501432037063,0.0,1.0,1.0,26.97,1143.03,0.74,1.69,0.5,0.0
2020-10-16,2341.530029296875,-0.008334680933165028,0.0,1.0,0.0,27.41,1146.82,0.76,1.71,0.5,0.0
2020-10-19,2346.739990234375,0.002225024181758739,0.0,1.0,0.0,29.18,1141.76,0.78,1.71,0.5,0.0
2020-10-20,2358.409912109375,0.004972822691718282,0.0,1.0,0.0,29.35,1138.65,0.81,1.72,0.5,0.0
2020-10-21,2370.860107421875,0.0052790633420314315,0.0,1.0,0.0,28.65,1132.11,0.83,1.74,0.5,0.0
2020-10-22,2355.050048828125,-0.006668490706919994,0.0,1.0,0.0,28.11,1135.26,0.87,1.76,0.5,0.0
2020-10-23,2360.81005859375,0.0024458120405939088,0.0,1.0,0.0,27.55,1129.77,0.85,1.75,0.5,0.0
2020-10-26,2343.909912109375,-0.007158621856449443,1.0,1.0,0.0,32.46,1127.77,0.81,1.72,0.5,0.2
2020-10-27,2330.840087890625,-0.00557607788218617,0.0,1.0,0.0,33.35,1127.9,0.79,1.71,0.5,0.2
2020-10-28,2345.260009765625,0.006186577084337674,0.0,1.0,0.0,40.28,1133.76,0.79,1.7,0.5,0.2
2020-10-29,2326.669921875,-0.007926663914967325,0.0,1.0,0.0,37.59,1131.12,0.85,1.71,0.5,0.2
2020-10-30,2267.14990234375,-0.025581634494713512,1.0,1.0,0.0,38.02,1133.99,0.88,1.7,0.5,0.4
2020-11-02,2300.159912109375,0.014560135495010673,0.0,1.0,0.0,37.13,1134.62,0.87,1.71,0.5,0.2
2020-11-03,2343.31005859375,0.01875962895327743,0.0,1.0,1.0,35.55,1134.3,0.9,1.72,0.5,0.2
2020-11-04,2357.320068359375,0.005978726423438996,0.0,1.0,1.0,29.57,1137.37,0.78,1.64,0.5,0.2
2020-11-05,2413.7900390625,0.023955156306977976,0.0,1.0,1.0,27.58,1122.96,0.79,1.66,0.5,0.2
2020-11-06,2416.5,0.0011226995279807195,0.0,1.0,1.0,24.86,1121.0,0.83,1.65,0.5,0.0
2020-11-09,2447.199951171875,0.012704304230033214,1.0,1.0,1.0,25.75,1113.14,0.96,1.73,0.5,0.2
2020-11-10,2452.830078125,0.002300640350384464,1.0,1.0,1.0,24.8,1117.63,0.98,1.76,0.5,0.4
2020-11-11,2485.8701171875,0.013470170378763635,1.0,1.0,1.0,23.45,1117.63,0.98,1.76,0.5,0.6
2020-11-12,2475.6201171875,-0.004123304725025978,0.0,1.0,1.0,25.35,1112.95,0.88,1.71,0.5,0.6
2020-11-13,2493.8701171875,0.007371890328930375,0.0,1.0,1.0,23.1,1109.47,0.89,1.72,0.5,0.6
2020-11-16,2543.030029296875,0.01971229847559819,0.0,1.0,1.0,22.45,1106.88,0.91,1.72,0.5,0.4
2020-11-17,2539.14990234375,-0.0015257888850797041,0.0,1.0,1.0,22.71,1105.33,0.87,1.7,0.5,0.2
2020-11-18,2545.639892578125,0.0025559697079657884,0.0,1.0,1.0,23.84,1105.72,0.88,1.7,0.5,0.0
2020-11-19,2547.419921875,0.0006992463081934019,0.0,1.0,1.0,23.11,1114.93,0.86,1.7,0.5,0.0
2020-11-20,2553.5,0.002386759274664474,0.0,1.0,1.0,23.7,1114.48,0.83,1.69,0.5,0.0
2020-11-23,2602.590087890625,0.019224628114597575,0.0,1.0,1.0,22.66,1115.42,0.86,1.71,0.5,0.0
2020-11-24,2617.760009765625,0.005828778779102706,0.0,1.0,1.0,21.64,1110.93,0.88,1.74,0.5,0.0
